icao24,r,t
4056b8,G-ROBJ,DR40
400fe9,G-RJXN,E145
400513,G-DOCT,B734
3cf86b,D-CVJN,LJ40
06a014,A7-HHJ,A319
405db2,G-CFJO,DA40
405f78,G-ECOO,DH8D
400db4,G-EZAS,A319
40093f,G-EUOG,A319
4b0f0b,HB-FSD,PC12
78011f,B-HIH,B742
43c041,ZH865,C30J
400b8a,G-CDEG,B738
0a0022,7T-VJP,B738
40055f,G-DOCY,B734
405dea,G-ECOH,DH8D
44914c,OO-DJL,RJ85
aa90a0,N780BA,B744
40079f,G-WOWA,DH8C
4007fb,G-YMMP,B772
4ca6ac,EI-RJY,RJ85
400c6a,G-GAFA,PA34
405638,G-EZDJ,A319
40089a,G-EZJA,B737
43c0a3,XV106,VC10
40097c,G-EUUA,A320
c0583f,C-GHKW,A333
400da0,G-DBCI,A319
406014,G-EZTJ,A320
4ca674,EI-RJJ,RJ85
4006aa,G-CIVT,B744
a25181,N249AU,B762
400b04,G-JEDW,DH8D
c0054a,C-FCAB,B763
4ac915,SE-RHU,B733
405f77,G-ZJET,C510
c0772a,C-GTDH,A320
43e748,M-WMWM,C25A
400a78,G-JEDR,DH8D
405d12,G-EZDY,A319
ae10b7,01-0188,C17
4005c8,G-CRPH,A320
400418,G-BUSI,A320
49116b,CS-DKK,GLF5
484132,PH-BXC,B738
4ca4f6,EI-DPS,B738
400879,G-EUPJ,A319
4ba9a8,TC-JMH,A321
484068,PH-KCK,MD11
400f01,G-EZBG,A319
40058c,G-ZZZC,B772
3000ac,I-DAWW,MD82
4ca740,EI-EBY,B738
400890,G-GFFH,B735
4ca62a,EI-RJA,RJ85
400500,G-CIVI,B744
4ca4c2,EI-RJP,RJ85
4010ed,G-EZBY,A319
398562,F-HBLC,E190
4060a5,G-FLBC,DH8D
10056,SU-GBX,B772
a4667c,N383AN,B763
4009c0,G-TTIC,A321
a884b6,N648UA,B763
4ca625,EI-DWY,B738
4ca5bd,EI-RJB,RJ85
4ca4e7,EI-DPC,B738
4009c5,G-EUUH,A320
4ca1d1,EI-DAR,B738
a48340,N390EU,PRM1
400517,G-DOCX,B734
400a9f,G-EZEG,A319
4008f1,G-EUPW,A319
400d57,G-VBLU,A346
4ca2a7,EI-DHS,B738
4ca250,EI-DCV,B738
4004c9,G-DOCA,B734
3c6586,D-AILF,A319
4ca24d,EI-DCY,B738
400d9b,G-VONJ,PRM1
40097d,G-EUUB,A320
400699,G-CPEP,B752
401122,G-TOYK,B733
405f7b,G-TCAD,A320
43c23e,ZR322,A109
4603c6,OH-BLE,MD90
40128a,G-STRY,B752
400a52,G-EZKD,B737
4ca76f,EI-EDP,A320
4006bf,G-CPET,B752
400bc0,G-OLDT,LJ45
4.05e+68,G-ECOI,DH8D
4ca64c,EI-DYJ,B738
738074,4X-ECD,B772
4ca707,EI-EBK,B738
3c119b,D-AVRI,RJ85
4008a5,G-JMCG,B752
40061d,G-TOYF,B733
4005bf,G-VIIG,B772
342558,EC-KBU,A320
3c4d6b,D-ACKK,CRJ9
4b1837,HB-JEL,E135
405ef4,G-ECOK,DH8D
400a79,G-JEDT,DH8D
4006d6,G-OGBD,B733
4400db,OE-LVC,F100
4ca7a7,EI-EFP,B738
706017,9K-AOA,B772
4951ce,CS-TNN,A320
400c75,G-MRJK,A320
3926a6,F-GJVG,A320
402d62,G-BPIU,P28A
a11fa1,N17126,B752
405c0d,G-ECOV,DH8D
400955,G-OOPU,A320
400942,G-EUOF,A319
40600e,G-EZTD,A320
a7cb78,N601FE,MD11
4009ee,G-TOYB,B733
400981,G-EUUF,A320
4ca292,EI-DEL,A320
395725,F-GVZF,AT72
400941,G-EUOI,A319
a028c9,N1092H,BE9L
400d8f,G-EZAE,A319
4ca13d,EI-CVA,A320
4ca61f,EI-DWS,B738
400931,G-JEDL,DH8D
491109,CS-DHI,C550
400575,G-VHOT,B744
4ca243,EI-DCM,B738
4005a6,G-CIVG,B744
341489,EC-HYD,A320
400876,G-JMCE,B752
400c70,G-JECH,DH8D
4005c0,G-VIIH,B772
48437c,PH-OFA,F100
4ca4f0,EI-DPL,B738
4008b1,G-EUPP,A319
40040d,G-BNLN,B744
4009f0,G-THOE,B733
400718,G-OZBL,A321
400aff,G-EUXG,A321
4007dc,G-RJXC,E145
40075e,G-TOYG,B733
4ca15d,EI-CVB,A320
43c0a8,XV107,VC10
484000000,PH-KZH,F70
4ca1f1,EI-DAT,B738
40050a,G-OBMP,B733
400a90,G-VNAP,A346
400a0b,G-KKAZ,A320
4007ee,G-YMMC,B772
4055ba,G-TOYI,B733
3c6641,D-AIRA,A321
4ca1b7,EI-DAF,B738
400f9a,G-DBCK,A319
43c38a,ZH536,BN2P
4ca56a,EI-DWE,B738
400980,G-EUUE,A320
3414c9,EC-HQJ,A320
400419,G-BUSJ,A320
a06860,N125XP,H25B
400af9,G-EZMH,A319
a9553b,N700GY,TBM7
c051e4,C-GFAH,A333
400867,G-DHJH,A321
4007df,G-FCLJ,B752
a6984c,N524FE,MD11
400422,G-BNWH,B763
4b1a58,HB-JZK,A319
a57ac7,N452NS,GLF4
3949ea,F-GSPK,B772
4ca61e,EI-DWR,B738
aab001,N788UA,B772
4010db,G-EUXK,A321
c80e65,ZK-NBU,B744
4cc3c9,TF-AMI,B744
3c7d82,D-AOLB,SB20
4e+26,G-FBEA,E190
400b6d,G-VGAS,A346
400d98,G-SIRA,E135
400f43,G-FBEB,E190
400978,G-FPLD,BE20
4690c1,SX-DFA,A343
4ca25a,EI-DHE,B738
400a34,G-CELB,B733
4ca30c,EI-DNM,B734
4009c7,G-EUUJ,A320
484078,PH-MCT,MD11
451c72,LZ-YUN,CL60
400ccf,G-EZIO,A319
3c4b17,D-ABXW,B733
aaee93,N803SA,HA4T
405ef3,G-ECOJ,DH8D
400a33,G-CELA,B733
867578,JA707J,B772
4ca258,EI-DHC,B738
40054e,G-BNWW,B763
400403,G-BNLD,B744
3c6625,D-AIQE,A320
4009df,G-OOBE,B752
4ca27a,EI-DHN,B738
4912a7,CS-DUG,H25B
a44069,N373RB,
401374,G-OZBR,A321
4009dd,G-OOBC,B752
40560b,G-MEDN,A321
4ca783,EI-DTB,A320
400be6,G-RJXP,E135
